# ra,dec
08:54:32.6,-24:12:58
13:21:07.2,-24:12:00
03:11:50.4,-24:00:36
11:30:48.0,-23:54:00
17:36:45.8,-25:12:43
18:00:33.6,-25:12:00
23:47:55.2,-25:11:24
11:36:33.6,-25:07:48
15:46:31.2,-25:06:00
03:30:14.4,-25:04:12
01:36:21.6,-25:03:00
03:36:43.2,-25:01:48
21:41:31.2,-26:37:48
22:14:24.0,-26:36:00
01:49:52.8,-26:33:00
01:52:45.6,-26:31:12
22:00:57.6,-26:28:12
20:30:36.0,-26:27:00
02:13:19.2,-26:27:00
00:33:14.4,-26:25:41
02:38:41.3,-19:17:13
05:33:00.0,-19:16:12
04:49:42.8,-19:13:58
05:28:09.6,-19:13:12
06:57:12.0,-19:13:12
01:10:24.0,-19:12:00
06:42:00.0,-19:06:00
09:50:24.0,-18:58:12
22:56:13.0,-21:39:46
04:49:45.6,-21:35:24
02:00:31.2,-21:30:36
10:16:39.8,-21:21:50
07:47:14.4,-21:18:36
00:25:14.4,-21:14:24
03:37:48.0,-21:02:24
16:33:46.3,-21:02:02
18:57:04.8,-20:58:12
21:19:38.4,-22:06:36
22:28:40.8,-21:57:36
00:05:24.6,-21:57:26
21:58:48.0,-21:55:48
17:20:33.6,-21:55:12
00:53:14.4,-21:48:36
10:27:31.2,-21:48:36
15:07:14.4,-21:47:24
21:27:19.2,-23:04:48
08:55:40.8,-23:01:12
13:01:38.4,-22:57:36
03:16:14.4,-22:54:36
17:32:19.2,-22:46:48
17:07:48.0,-22:40:48
00:49:04.8,-22:34:48
05:39:04.8,-22:33:00
15:55:04.8,-15:36:36
23:52:36.0,-15:36:36
03:20:00.0,-15:34:12
14:36:07.2,-15:25:12
22:40:02.4,-15:19:48
20:40:45.6,-15:19:12
22:33:05.8,-15:16:55
05:55:02.6,-15:15:22
16:44:12.0,-17:04:12
12:51:33.6,-17:02:24
10:38:31.2,-17:00:00
23:54:33.6,-16:57:00
02:12:26.4,-16:56:24
20:46:36.0,-16:55:12
14:31:04.8,-16:51:36
04:25:57.6,-16:45:36
14:04:48.0,-16:42:00
13:50:24.0,-17:18:00
10:31:00.0,-17:15:00
09:29:21.6,-17:13:48
23:58:57.6,-17:09:00
05:40:26.4,-17:07:12
23:14:55.2,-17:06:36
05:20:48.0,-17:06:00
17:58:14.4,-17:04:48
02:00:48.0,-17:36:00
03:18:07.2,-17:34:48
14:26:07.2,-17:32:24
07:45:43.2,-17:28:48
10:00:09.6,-17:27:00
14:52:55.2,-17:25:12
01:48:28.8,-17:24:36
00:07:16.8,-17:24:00
18:17:48.0,-18:42:36
05:26:14.4,-18:40:12
12:35:28.8,-18:39:36
21:13:02.4,-18:34:48
15:47:48.5,-18:33:54
17:15:09.6,-18:30:36
14:13:12.0,-18:30:00
13:35:57.6,-18:21:36
20:30:09.6,-09:28:48
22:32:07.2,-09:24:00
23:39:57.6,-09:21:36
04:59:00.0,-09:18:54
14:47:36.0,-09:12:00
17:46:00.0,-09:12:00
05:22:21.6,-09:11:24
13:41:36.0,-09:06:00
18:47:26.4,-11:10:12
19:33:14.4,-11:07:12
02:54:19.2,-11:06:00
09:09:50.4,-11:01:12
06:57:21.6,-10:57:36
12:32:00.0,-10:57:22
09:31:57.6,-10:57:00
07:48:57.6,-10:55:12
00:49:12.0,-10:54:00
12:31:12.0,-13:24:00
09:59:26.4,-12:55:48
08:38:02.4,-12:52:48
16:55:26.2,-12:52:42
16:16:07.2,-12:45:36
04:51:21.6,-12:39:00
19:22:51.8,-12:35:37
00:48:19.2,-12:33:00
02:31:50.4,-12:31:48
12:38:31.2,-14:28:48
04:22:14.4,-14:27:36
06:26:48.0,-14:24:00
12:25:23.5,-14:06:18
02:47:40.8,-14:00:36
08:06:48.0,-14:00:00
11:37:57.6,-13:57:00
11:28:40.8,-13:55:48
07:16:00.0,-15:12:00
19:17:29.0,-15:06:00
05:08:04.8,-14:57:36
20:51:21.6,-14:57:00
20:51:21.6,-14:50:24
08:17:16.8,-14:46:48
22:40:24.0,-14:36:00
14:14:34.6,-14:32:06
16:14:21.6,-10:22:12
13:34:46.6,-10:20:06
12:13:36.0,-10:19:12
04:00:04.8,-10:15:36
16:26:57.6,-10:08:24
15:30:55.2,-09:56:24
19:39:14.4,-09:55:48
07:02:50.4,-09:52:12
01:46:04.8,-08:30:36
16:00:45.6,-08:29:24
13:39:36.0,-08:24:00
19:02:52.8,-08:22:12
18:41:43.2,-08:20:24
19:23:12.0,-08:18:00
10:40:48.0,-08:12:00
18:17:38.4,-08:12:00
06:36:21.6,-08:06:00
07:17:14.4,-07:51:36
20:33:52.8,-07:51:00
19:55:04.8,-07:49:12
06:13:02.4,-07:39:36
05:21:07.2,-07:37:12
00:17:16.8,-07:31:12
09:48:12.0,-07:28:48
01:21:09.6,-06:25:48
12:11:12.0,-06:24:00
12:15:45.6,-06:20:24
18:52:28.8,-06:09:00
15:12:09.6,-06:07:48
00:24:21.6,-05:49:48
23:11:48.5,-05:44:20
14:43:00.0,-05:40:12
08:19:27.8,-07:10:55
01:55:04.8,-07:08:24
06:35:07.2,-07:06:36
10:44:04.8,-07:04:48
15:14:09.6,-07:04:12
00:32:24.0,-07:00:36
21:45:31.2,-06:58:12
06:47:14.4,-06:57:00
12:16:28.8,-07:28:12
14:38:26.4,-07:27:36
17:18:48.0,-07:24:00
10:55:28.8,-07:24:00
03:26:48.0,-07:20:24
02:32:16.8,-07:14:24
01:43:12.0,-07:12:00
14:36:38.4,-07:12:00
23:47:12.0,+00:19:12
20:58:48.0,+00:27:00
06:46:07.2,+00:40:48
07:59:48.0,+00:45:00
21:19:28.8,+00:45:00
09:37:50.4,+00:51:00
12:23:21.6,+00:58:48
18:06:09.6,+01:00:36
17:34:48.0,-00:22:12
03:47:43.2,-00:17:24
21:30:24.2,-00:13:52
05:28:31.2,-00:07:36
09:14:16.6,-00:07:24
09:22:28.8,-00:06:36
06:23:12.0,-00:06:00
01:09:53.8,+00:00:11
17:41:57.6,-01:40:48
00:42:21.6,-01:39:00
08:34:07.2,-01:37:48
08:19:04.8,-01:36:36
12:05:28.8,-01:36:00
09:01:59.0,-01:35:49
00:45:02.4,-01:35:38
01:58:26.4,-01:34:48
04:42:33.6,-01:34:48
14:13:04.8,-02:28:12
18:23:33.6,-02:18:36
19:31:50.4,-02:15:00
02:52:26.2,-02:13:26
09:10:33.6,-02:12:36
07:29:28.8,-02:09:00
14:14:16.8,-02:06:36
10:05:36.0,-02:06:00
13:28:19.2,-00:54:00
09:17:26.4,-00:52:12
20:24:21.6,-00:48:36
19:08:14.4,-00:39:36
11:44:38.4,-00:36:00
01:32:38.4,-00:33:36
09:31:52.8,-00:33:00
23:44:43.2,-00:32:24
07:04:31.2,-00:27:36
08:52:09.6,-04:37:12
02:10:06.1,-04:24:42
05:40:55.8,-04:23:46
08:13:50.4,-04:23:24
20:55:26.4,-04:22:48
19:18:52.8,-04:09:00
08:44:55.2,-04:09:00
05:13:14.4,-04:00:00
11:47:45.6,+09:20:24
09:50:20.2,+09:22:23
00:27:56.8,+09:24:08
04:19:50.4,+09:28:48
23:31:12.0,+09:30:00
20:52:12.2,+09:35:55
06:40:24.0,+09:37:12
10:26:00.2,+09:39:44
08:38:26.4,+07:48:36
19:21:14.4,+07:53:24
18:01:55.2,+08:01:12
22:57:41.8,+08:04:54
13:22:57.6,+08:07:12
08:41:33.6,+08:08:24
00:39:14.4,+08:09:36
21:58:09.6,+08:09:36
11:43:00.0,+08:43:12
11:30:24.0,+08:47:24
10:24:48.0,+08:48:00
23:39:12.0,+08:54:00
08:06:24.0,+08:54:00
11:23:45.6,+08:55:48
14:15:16.8,+09:03:00
00:55:26.4,+09:04:48
08:36:14.4,+06:22:48
19:58:40.8,+06:24:47
19:40:31.2,+06:30:00
06:09:07.2,+06:31:48
14:33:43.2,+06:40:48
19:06:55.2,+06:45:18
06:26:52.8,+06:48:00
20:33:12.0,+06:54:00
07:33:12.0,+05:24:00
08:47:38.4,+05:33:36
23:50:12.0,+05:37:48
14:36:52.8,+05:45:00
12:13:57.6,+05:45:36
22:28:09.6,+05:46:12
07:58:40.8,+05:46:48
12:23:57.6,+05:49:48
04:52:12.0,+04:50:24
12:42:45.6,+04:54:36
01:39:33.6,+04:55:48
23:33:33.6,+04:58:12
14:20:14.4,+05:00:00
06:21:21.6,+05:00:00
02:34:00.0,+05:06:00
02:14:24.0,+05:24:00
03:42:31.2,+04:21:00
00:41:45.6,+04:25:48
04:38:48.0,+04:30:00
17:26:36.0,+04:33:36
16:21:36.0,+04:36:00
06:16:14.4,+04:37:48
01:04:38.4,+04:47:24
11:07:04.8,+04:48:36
13:23:43.2,+02:48:00
22:44:57.6,+02:48:36
10:47:57.6,+02:49:48
08:09:24.0,+02:54:36
12:27:09.6,+02:54:36
22:51:38.4,+03:05:24
14:02:00.0,+03:06:00
05:02:31.2,+03:10:48
03:47:55.2,+01:35:24
22:14:48.0,+01:36:36
05:11:02.4,+01:42:36
08:30:45.6,+01:43:48
23:47:09.6,+01:43:48
02:46:48.0,+01:48:00
17:51:45.6,+01:49:12
22:42:28.8,+01:51:36
09:00:38.4,+01:54:36
09:30:07.2,+17:22:48
12:06:26.4,+17:27:00
23:43:14.4,+17:30:00
07:20:07.2,+17:31:48
18:53:00.0,+17:33:00
22:01:16.8,+17:33:36
08:56:36.0,+17:37:12
04:43:40.8,+17:37:48
14:14:09.6,+16:43:48
12:38:00.0,+16:48:00
01:57:34.1,+16:53:24
23:43:50.4,+16:59:24
06:41:45.6,+17:03:36
03:24:00.0,+17:06:00
12:42:48.0,+17:06:00
13:26:09.6,+17:10:48
02:31:02.4,+16:21:36
09:43:57.6,+16:24:00
16:20:21.6,+16:24:36
08:01:36.0,+16:27:00
06:26:19.2,+16:31:48
12:21:57.6,+16:34:48
13:41:36.0,+16:36:00
17:19:13.0,+16:42:22
14:31:26.4,+14:42:36
10:43:26.4,+14:43:12
01:00:19.2,+14:56:24
16:14:00.0,+14:58:12
23:31:24.0,+15:01:48
03:44:19.2,+15:05:24
12:55:48.0,+15:21:00
02:59:35.0,+15:24:25
04:52:38.4,+15:27:36
04:14:07.2,+13:44:24
04:52:48.0,+13:48:00
16:07:57.6,+13:48:36
03:02:43.2,+13:49:12
03:10:21.7,+13:59:44
04:48:33.6,+14:04:48
17:13:52.8,+14:05:24
00:12:09.6,+14:07:12
04:18:24.0,+14:12:00
08:53:58.1,+13:31:01
01:05:21.6,+13:31:12
11:38:52.8,+13:31:48
04:40:24.0,+13:32:24
08:31:00.0,+13:34:12
00:01:04.8,+13:34:48
21:42:13.9,+13:38:10
08:37:48.0,+13:42:00
03:18:28.8,+12:03:00
02:52:33.6,+12:07:12
14:06:24.0,+12:13:12
07:31:24.0,+12:21:36
22:37:28.8,+12:29:24
07:27:19.2,+12:33:00
17:31:19.2,+12:34:12
20:53:02.4,+12:38:24
00:03:04.8,+09:40:48
01:36:21.6,+09:42:36
19:43:14.4,+09:50:24
14:18:48.0,+09:54:00
14:46:31.2,+09:59:56
02:07:21.6,+10:03:36
22:04:14.4,+10:10:48
19:28:38.4,+10:23:24
17:54:14.4,+26:52:12
03:12:26.4,+26:56:24
09:45:44.9,+26:58:37
18:21:52.8,+27:00:36
10:42:26.4,+27:03:00
05:50:48.0,+27:03:36
22:18:07.2,+27:05:24
00:10:48.0,+27:12:00
17:39:45.4,+27:19:28
04:05:12.0,+27:24:00
16:35:52.8,+27:27:00
08:47:38.4,+27:29:24
17:21:00.0,+27:31:48
00:25:07.2,+27:32:24
07:56:09.6,+27:33:00
11:32:32.6,+27:42:46
18:09:04.8,+27:46:48
19:45:24.0,+25:52:48
16:13:40.1,+25:54:00
14:29:48.0,+25:54:36
11:36:21.6,+25:55:12
14:21:40.8,+25:57:00
00:26:38.4,+25:59:24
13:58:55.2,+26:17:24
23:57:02.4,+26:26:24
16:47:14.9,+23:52:52
21:34:57.6,+23:56:24
18:53:02.4,+23:57:00
17:07:15.6,+23:57:07
04:20:12.0,+24:04:12
20:11:40.8,+24:05:24
19:09:57.6,+24:06:00
10:10:42.2,+24:06:04
16:05:15.4,+21:53:50
15:01:12.0,+22:00:00
18:28:12.0,+22:13:12
21:24:09.6,+22:15:00
01:40:19.9,+22:25:26
11:13:19.2,+22:25:48
01:44:45.6,+22:27:00
04:14:00.0,+22:30:36
04:40:23.3,+22:31:30
11:24:21.6,+22:37:12
07:26:48.0,+21:24:00
01:00:12.0,+21:25:48
21:45:14.4,+21:26:24
18:27:31.2,+21:27:36
08:40:04.8,+21:28:48
02:46:40.8,+21:32:24
06:02:02.4,+21:37:48
00:27:16.8,+21:51:00
00:11:07.2,+20:22:12
11:25:28.8,+20:24:36
02:02:09.6,+20:27:00
05:24:14.4,+20:30:00
12:01:00.0,+20:33:00
05:14:16.8,+20:49:48
06:49:57.6,+20:51:36
13:25:26.4,+20:55:48
16:51:31.2,+19:01:48
01:09:48.0,+19:14:24
04:09:04.8,+19:16:12
08:55:50.4,+19:27:36
20:17:14.4,+19:31:48
18:30:48.0,+19:36:00
00:22:31.2,+19:45:00
10:32:28.8,+19:45:36
16:42:00.0,+18:24:00
08:11:16.8,+18:29:24
03:09:00.0,+18:31:12
15:25:38.4,+18:33:36
07:51:57.6,+18:37:48
19:50:43.2,+18:39:36
04:42:38.4,+18:41:24
14:28:00.0,+18:54:00
22:36:24.0,+40:00:00
13:34:45.6,+40:04:12
10:24:05.8,+40:05:56
06:29:43.2,+40:07:48
07:21:28.8,+40:13:48
14:43:57.6,+40:18:36
00:16:26.4,+40:21:36
19:38:48.0,+40:24:00
09:33:45.6,+38:45:00
05:50:16.8,+38:45:36
08:03:14.4,+38:46:48
20:34:55.2,+38:51:36
12:09:24.0,+38:56:24
22:26:14.4,+38:58:48
14:45:46.1,+39:04:00
05:18:00.0,+39:09:00
05:14:21.6,+39:15:36
17:37:02.4,+36:32:24
16:46:04.8,+36:37:29
13:43:14.4,+36:39:36
23:50:24.0,+36:42:00
23:40:43.2,+36:42:00
20:50:24.7,+36:44:00
16:01:48.0,+36:45:00
15:11:12.0,+36:45:36
08:09:45.6,+36:46:12
17:16:24.0,+35:24:00
05:36:48.0,+35:25:12
08:58:52.8,+35:28:12
10:17:12.0,+35:30:00
12:58:26.4,+35:30:36
15:07:04.8,+35:31:48
15:17:07.7,+35:46:08
13:17:09.6,+35:46:12
08:42:36.0,+35:48:00
23:58:45.6,+35:54:00
13:16:12.0,+35:54:36
07:09:43.2,+36:02:24
19:24:22.3,+36:05:43
01:54:48.0,+36:16:48
03:35:19.2,+36:21:00
19:36:18.7,+36:22:37
05:35:07.2,+34:14:24
07:50:21.6,+34:17:24
10:13:36.0,+34:17:24
10:22:02.4,+34:18:36
18:33:52.8,+34:24:36
19:20:38.4,+34:27:36
02:32:36.0,+34:31:12
04:04:57.6,+34:33:36
17:48:12.0,+33:15:00
21:31:43.2,+33:16:12
16:14:28.8,+33:19:48
10:50:52.8,+33:22:48
17:26:40.8,+33:22:48
02:08:24.0,+33:24:00
10:22:48.0,+33:24:00
10:45:28.8,+33:24:00
04:51:12.0,+32:30:00
19:17:26.4,+32:31:19
15:54:24.0,+32:36:00
13:54:24.0,+32:36:00
20:02:43.2,+32:39:36
20:48:48.0,+32:42:00
19:54:55.2,+32:42:00
04:02:43.2,+32:46:12
22:51:21.6,+31:05:24
04:44:27.1,+31:11:49
13:54:48.0,+31:16:48
05:54:24.0,+31:18:00
23:41:13.9,+31:18:23
12:56:09.6,+31:27:36
11:04:45.6,+31:30:36
15:41:14.4,+31:33:00
23:56:36.0,+31:33:36
13:55:36.0,+30:08:24
13:02:10.6,+30:09:40
17:56:36.0,+30:11:24
04:41:28.8,+30:18:00
06:01:38.2,+30:18:50
16:50:19.2,+30:27:36
10:03:12.0,+30:30:00
05:46:21.6,+30:36:00
08:49:00.0,+29:29:24
10:57:52.8,+29:38:24
22:00:45.8,+29:38:38
08:09:48.2,+29:39:35
22:41:37.7,+29:43:01
01:29:09.6,+29:43:48
