# ra,dec
08:36:00.5,+54:20:56
12:12:30.7,+54:23:26
15:25:04.8,+54:43:48
03:44:16.8,+54:51:00
05:50:21.6,+52:21:00
12:17:02.4,+52:24:36
00:59:48.0,+52:27:36
16:49:09.8,+52:44:49
12:23:28.8,+52:54:36
16:45:02.4,+52:55:48
03:55:00.0,+52:57:36
22:04:48.0,+53:00:00
12:13:36.0,+49:48:00
13:09:09.4,+49:50:32
00:52:17.8,+49:56:23
21:57:02.4,+49:58:12
17:43:02.4,+49:58:48
14:47:43.2,+50:00:00
13:52:52.8,+50:10:12
12:50:27.1,+50:11:53
12:17:50.4,+49:19:48
11:26:09.6,+49:25:12
17:56:24.0,+49:25:48
23:45:40.8,+49:29:24
16:33:26.4,+49:30:36
05:51:43.2,+49:33:00
10:58:50.4,+49:34:12
18:47:28.8,+49:43:48
21:34:00.0,+48:42:00
08:55:31.2,+48:54:00
05:37:40.8,+48:57:36
21:16:44.9,+48:58:12
01:51:45.6,+48:58:48
13:34:21.6,+49:01:48
14:44:53.3,+49:12:53
02:52:01.0,+49:17:28
08:43:28.8,+47:35:24
21:15:55.2,+47:39:00
01:50:19.2,+47:43:48
00:09:52.2,+47:45:16
11:06:16.8,+47:52:12
21:30:48.0,+47:54:00
21:32:09.6,+47:54:00
14:02:26.4,+47:54:36
20:30:36.0,+45:43:12
00:54:12.0,+45:45:00
01:46:52.8,+45:58:48
17:23:12.0,+46:00:00
16:06:16.8,+46:08:24
14:02:02.4,+46:15:36
19:42:40.3,+46:24:12
03:30:40.8,+46:28:12
01:37:24.0,+44:57:00
07:54:24.0,+45:00:00
00:51:59.0,+45:06:06
23:15:28.8,+45:20:24
02:16:48.0,+45:24:00
02:05:12.0,+45:35:24
11:10:14.4,+45:40:12
19:03:42.2,+45:42:54
23:20:38.4,+73:01:48
21:25:26.4,+73:15:36
09:00:00.0,+74:18:00
01:08:38.4,+74:18:00
02:07:19.2,+74:25:12
20:32:43.0,+74:49:30
09:23:09.6,+74:59:24
13:26:48.0,+75:06:00
07:29:36.0,+70:30:00
09:49:42.2,+70:30:13
04:27:02.9,+71:03:39
07:01:12.0,+71:06:00
08:10:29.5,+71:07:42
06:28:28.8,+71:19:12
20:31:02.4,+71:27:36
04:20:24.0,+71:42:00
12:55:36.0,+71:53:24
09:48:14.4,+67:57:00
10:16:02.4,+68:05:24
07:54:24.0,+68:06:00
04:52:26.4,+68:08:24
00:08:01.4,+68:10:19
01:39:45.6,+68:13:48
06:56:16.8,+68:15:36
09:19:58.1,+68:26:12
18:39:52.8,+66:25:48
00:53:21.6,+66:27:00
09:41:20.2,+66:45:39
06:28:52.8,+67:03:00
13:57:24.0,+67:19:12
21:20:02.4,+67:36:00
05:05:16.8,+67:48:36
07:53:19.2,+67:54:36
18:03:31.2,+63:42:36
15:37:50.6,+63:49:52
08:26:40.8,+63:50:03
06:14:22.3,+64:05:06
02:10:24.0,+64:06:00
06:04:26.4,+64:17:24
00:42:24.0,+64:24:36
00:21:12.0,+64:48:00
02:49:48.0,+64:49:12
13:53:55.2,-76:22:12
18:40:07.2,-76:09:00
04:24:21.6,-75:39:00
17:32:55.2,-75:38:24
00:12:07.2,-75:37:12
18:48:09.6,-75:30:36
07:57:33.6,-75:10:12
16:00:33.6,-75:06:00
12:03:31.2,-74:47:24
20:45:19.2,-74:30:00
12:32:36.0,-82:41:24
02:08:00.0,-81:12:00
23:58:55.2,-80:26:24
16:45:14.4,-80:16:48
17:44:36.0,-80:12:36
22:31:28.8,-80:02:24
23:47:50.2,-79:54:18
13:56:33.6,-79:06:00
03:41:21.2,-89:00:33
17:06:55.2,-88:51:36
19:38:26.4,-87:34:48
04:51:45.6,-87:25:48
18:26:17.5,-86:06:41
19:01:57.6,-86:00:00
04:44:02.4,-85:55:48
00:55:31.2,-85:26:24
12:27:09.6,-83:33:00
16:52:51.8,+82:03:13
18:20:33.6,+82:24:36
20:00:24.0,+82:48:00
19:14:55.9,+84:16:55
18:28:24.5,+86:25:43
07:17:36.0,+87:16:12
09:14:57.1,+87:16:12
15:03:12.5,+88:34:07
13:37:09.6,+79:01:48
11:24:04.8,+80:15:36
15:04:07.2,+80:19:48
12:06:52.8,+80:33:36
17:42:52.8,+80:59:24
15:01:53.5,+81:11:29
08:16:43.2,+81:17:24
09:04:02.4,+81:31:48
