# Results from heasarc_batse4b: CGRO/BATSE 4B Catalog
# Coordinate system:  Equatorial
#%|trigger_num|name      |ra     |dec   |lii   |bii   |day_trigger|time                 |seconds_trigger|error_radius|earth_angle|overwrite|overwritten|max_cts_64|threshold_64|flux_64 |flux_64_error|flux_64_time|max_cts_256|threshold_256|flux_256|flux_256_error|flux_256_time|max_cts_1024|threshold_1024|flux_1024|flux_1024_error|flux_1024_time|t50     |t50_error|t50_start|t90     |t90_error|t90_start|fluence_1 |fluence_1_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|fluence_4 |fluence_4_error|comments_quality                                                      |comments_otherobs                                                     |comments_general                                                      |comments_position                    |comments_duration                                                     |
|      02288|4B 930405C|14 25.4|+48 44| 89.16| 61.77|       9082|1993-04-05 21:10:23.6|      76223.617|        6.81|     117.71|N        |N          |  -999.000|          66|  0.9020|       0.2070|     -0.1280|      1.386|          132|  0.7950|        0.1020|       0.0000|       0.767|           264|   0.2560|         0.0460|        0.7680|   0.256|    0.091|   -0.192|   0.448|    0.091|   -0.256|4.7646e-09|     3.0467e-09|6.0938e-09|     2.8048e-09|5.9409e-08|     6.5925e-09|7.1664e-08|     6.9958e-08|                                                                      |                                                                      |OCCULTATION STEP (RISE) AT ~T+250S IN LAD 4 &amp; 5.                      |                                     |HIGH TIME RESOLUTION DATA NOT AVAILABLE.                              |
|      05540|4B 960715B|05 27.0|+48 50|161.21|  7.61|      10279|  1996-07-15 07:33:13|      27193.033|        2.61|     159.33|N        |N          |     0.714|          49|  1.3410|       0.2060|      0.0000|      1.287|          108|  1.0700|        0.1010|       0.0640|       1.356|           198|   0.7000|         0.0490|        0.2560|  42.496|    0.572|   -0.512|  76.768|   13.734|   -8.192|9.3260e-07|     7.5709e-08|4.6894e-07|     3.9644e-08|6.1025e-07|     8.5805e-08|2.9675e-06|     1.3263e-06|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      03089|4B 940717B|07 20.5|+48 52|168.83| 24.68|       9550|1994-07-17 20:22:57.3|      73377.328|        0.75|     122.24|N        |N          |     3.767|          66|  3.5240|       0.3360|      1.9840|      5.524|          132|  2.7060|        0.1530|       0.3200|       9.352|           264|   2.2270|         0.0730|        1.0880|        |         |         |        |         |         |6.6243e-07|     3.1151e-08|7.9404e-07|     2.6336e-08|2.1252e-06|     6.3976e-08|0.0000e+00|     3.7143e-07|                                                                      |                                                                      |                                                                      |                                     |DATA GAP IMMEDIATELY PRECEDES BURST.; VISUAL DURATION ESTIMATE OF &gt; 36|
|      05477|4B 960529 |00 57.6|+48 53|123.97|-13.97|      10232|1996-05-29 12:07:45.1|      43665.098|        0.36|     110.73|N        |N          |    25.418|          71| 29.3520|       0.6940|      1.5360|     36.537|          143| 23.8740|        0.3110|       1.6640|      49.106|           264|  18.4340|         0.1360|        2.3680|   1.344|    0.091|    0.960|  17.088|    0.707|    0.128|7.2387e-07|     1.5336e-08|1.0693e-06|     1.6192e-08|7.8923e-06|     5.3022e-08|1.0147e-04|     9.2041e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      02509|4B 930902 |15 33.7|+49 00| 79.10| 51.97|       9232|1993-09-02 06:57:24.8|      25044.830|        1.32|     100.74|N        |N          |          |            |  2.2480|       0.2550|      1.6640|           |             |  1.8520|        0.1210|       1.6640|            |              |   1.6060|         0.0590|        1.7280|        |         |         |        |         |         |3.1659e-07|     2.3386e-08|3.0520e-07|     2.0612e-08|1.5786e-06|     5.6683e-08|5.9266e-06|     1.0122e-06|DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |ULYSSES RATE INCREASE                                                 |                                                                      |                                     |VISUAL DURATION ESTIMATE OF &gt; 4 S.                                    |
|      03905|4B 951112 |08 50.1|+49 05|170.26| 39.27|      10033|1995-11-12 18:27:59.8|      66479.797|        2.94|      73.83|N        |N          |          |            |  4.6750|       0.2810|     15.1040|           |             |  4.3900|        0.1380|      15.2320|            |              |   3.9140|         0.0660|       15.8720|   5.184|    0.547|   13.120|  24.256|    3.032|    0.704|7.7487e-07|     1.7749e-08|1.2475e-06|     1.9346e-08|3.8862e-06|     5.5091e-08|5.8560e-06|     5.4455e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      02487|4B 930811 |19 45.3|+49 13| 82.40| 12.11|       9210|1993-08-11 14:01:41.5|      50501.531|        9.43|      89.73|N        |N          |          |            |  2.1740|       0.3060|      0.0640|           |             |  1.4490|        0.1400|       0.1280|            |              |   0.4730|         0.0590|        0.5120|   0.128|    0.036|   -0.044|   0.336|    0.069|   -0.188|1.1125e-08|     3.8661e-09|1.0229e-08|     3.2249e-09|1.1230e-07|     9.0902e-09|4.5648e-07|     1.4902e-07|DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |                                                                      |OCCULTATION STEP (RISE) AT ~T-300S IN LAD 2 (BG SOURCE).              |                                     |                                                                      |
|      05545|4B 960720 |17 29.7|+49 20| 76.02| 33.25|      10284|1996-07-20 11:36:52.9|      41812.938|        1.59|      88.62|N        |N          |     2.830|          58|  2.4490|       0.2410|      0.4480|      5.270|          117|  2.2290|        0.1180|       0.5120|       7.170|           252|   2.2040|         0.0580|        1.2160|   2.432|    0.202|    0.576|  12.544|    2.433|    0.000|1.3670e-07|     1.2032e-08|2.4185e-07|     1.3446e-08|9.6921e-07|     4.2562e-08|1.5804e-06|     5.3728e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      02188|4B 930213 |00 55.7|+49 25|123.65|-13.45|       9031|1993-02-13 08:52:06.9|      31926.910|        2.97|     102.00|N        |N          |          |            |  1.0310|       0.2250|      0.7040|           |             |  0.8420|        0.1080|       0.8960|            |              |   0.6980|         0.0530|        1.4720|  51.008|    0.345|    4.096|  74.368|    3.126|   -5.120|6.1927e-07|     2.7279e-08|6.8191e-07|     2.4773e-08|1.6381e-06|     6.4237e-08|1.6155e-06|     8.0480e-07|DATA GAP DURING BURST ACCUMULATION INTERVAL.                          |                                                                      |                                                                      |                                     |                                                                      |
|      03779|4B 950907 |20 08.5|+49 28| 84.53|  8.96|       9967|1995-09-07 04:34:06.9|      16446.898|        5.93|      70.52|N        |N          |     0.702|          88|  0.7830|       0.1820|     -0.6400|      1.306|          176|  0.6730|        0.0900|      -0.4480|       1.638|           352|   0.5750|         0.0450|       -0.0640|   3.008|    0.286|   -0.896|  11.328|    6.408|   -2.672|1.2376e-07|     1.0263e-08|9.4404e-08|     8.0155e-09|2.0715e-07|     2.0030e-08|2.8931e-08|     1.4462e-07|                                                                      |                                                                      |                                                                      |                                     |                                                                      |
|      03431|4B 950216 |08 15.2|+49 35|169.56| 33.60|       9764|1995-02-16 21:19:07.2|      76747.188|        8.17|     145.04|N        |N          |     0.010|          78|        |             |            |   -999.000|          156|        |              |             |    -999.000|           520|         |               |              |   0.240|    0.036|   -0.039|   0.496|    0.082|   -0.071|          |               |          |               |          |               |          |               |                                                                      |                                                                      |                                                                      |                                     |                                                                      |
