# beta, cdf
3.39893e+00 9.50000e-01
3.48955e+00 9.53571e-01
3.51147e+00 9.57143e-01
3.54627e+00 9.60714e-01
3.56203e+00 9.64286e-01
3.58776e+00 9.67857e-01
3.65843e+00 9.71429e-01
3.71297e+00 9.75000e-01
3.71434e+00 9.78571e-01
3.83883e+00 9.82143e-01
3.88595e+00 9.85714e-01
3.91616e+00 9.89286e-01
3.94984e+00 9.92857e-01
4.04757e+00 9.96429e-01
4.04809e+00 1.00000e+00
