#GRB	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
080603B	3.5	0.2
080602	2.9	0.2
080524	0.4	0.2
080523	0.5	0.1
080520	0.5	0.1
080517	0.6	0.2
080516	1.8	0.3
080515	3.9	0.7
080506	0.4	0.1
080503	0.9	0.1
080430	2.6	0.2
080413B	18.7	0.8
080413A	5.6	0.2
080411	43.2	0.9
080409	3.7	0.3
080330	0.9	0.2
080328	5.5	0.3
080325	1.4	0.6
080320	0.6	0.1
080319D	0.1	0.1
080319C	5.2	0.3
080319B	24.8	0.5
080319A	1.2	0.2
080315	0.04	0.01
080310	1.3	0.2
080307	0.4	0.1
080303	1.4	0.2
080229A	5.7	0.2
080218B	3.1	0.6
080218A	1.4	0.4
080212	1.2	0.3
080210	1.6	0.2
080207	1.0	0.3
080205	1.4	0.2
080130	0.2	0.1
080129	0.2	0.1
080123	1.8	0.4
071129	0.9	0.2
071122	0.4	0.2
071118	0.3	0.1
071117	11.3	0.4
071112C	8	1
071101	0.4	0.1
071031	0.5	0.1
071028B	1.4	0.5
071028A	0.3	0.1
071025	1.6	0.2
071021	0.7	0.1
071020	8.4	0.3
071018	0.2	0.1
071013	0.4	0.2
071011	1.7	0.3
071010B	7.7	0.3
071010A	0.8	0.3
071008	0.5	0.1
071006	13	3
071003	6.3	0.4
071001	0.9	0.1
070920B	0.8	0.1
070920A	0.3	0.1
070917	8.5	0.3
070913	1.4	0.2
070911	3.9	0.2
070810A	1.9	0.2
070808	2.0	0.2
070805	0.7	0.2
070802	0.4	0.1
070731	1.2	0.2
070721B	1.5	0.3
070721A	0.7	0.1
070714B	2.7	0.2
070704	2.1	0.2
070628	5.1	0.3
070621	2.5	0.3
070616	1.93	0.14
070612B	2.47	0.39
070612A	1.51	0.38
070611	0.82	0.21
070531	1.00	0.22
070529	1.43	0.36
070521	6.53	0.27
070520B	0.43	0.14
070520A	0.44	0.15
070518	0.68	0.13
070517	0.95	0.17
070509	0.68	0.12
070508	24.10	0.61
070506	0.96	0.13
070429A	0.41	0.15
070427	1.34	0.13
070420	7.12	0.76
070419B	1.38	0.17
070419A	0.20	0.10
070412	0.66	0.12
070411	0.91	0.13
070330	0.88	0.14
070328	4.22	0.24
070318	1.76	0.15
070306	4.07	0.21
070227	4.62	1.27
070224	0.34	0.11
070223	0.69	0.15
070220	5.88	0.29
070219	0.67	0.13
070208	0.90	0.22
070129	0.55	0.12
070126	n/a	n/a
070110	0.60	0.12
070107	1.97	0.23
070103	1.04	0.15
061222B	1.59	0.36
061222A	8.53	0.26
061218	0.26	0.12
061210	5.31	0.47
061202	2.51	0.17
061126	9.76	0.38
061121	21.10	0.46
061110B	0.45	0.11
061110A	0.53	0.12
061102	0.23	0.05
061028	0.65	0.19
061027	n/a	n/a
061021	6.11	0.27
061019	2.12	0.44
061007	14.60	0.37
061006	5.24	0.21
061004	2.54	0.16
061002	0.81	0.26
