#%GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
120712A	14.7	18	1	2.4	0.2	4.1745 (VLT: absorption)
120521C	26.7	11	1	1.9	0.2	6.0 (Gemini-North: redshift estimate)
120422A	5.35	2.3	0.4	0.6	0.2	0.28 (Gemini-North: emission)|0.283 (VLT: emission)
120404A	38.7	16	1	1.2	0.2	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)
120327A	62.9	36	1	3.9	0.2	2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)
120326A	69.6	26	3	4.6	0.2	1.798 (GTC: absorption)
120119A	253.8	170	0	10.3	0.3	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)
120118B	23.26	18	1	2.2	0.3	2.943 (Keck I: emission)
111229A	25.4	3.4	0.7	1.0	0.2	1.3805 (Gemini-South: absorption)
111228A	101.20	85	2	12.4	0.5	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
111225A	106.8	13	1.2	0.7	0.1	0.297 (GTC: absorption)
111209A	n/a	360	10	0.5	0.1	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
111123A	290.0	73	3	0.9	0.1	3.1516 (VLT: emission from host)
111107A	26.6	8.8	0.8	1.2	0.2	2.893 (Gemini-South: absorption)| Consistent with Gemini-South (VLT: absorption)
111008A	63.46	53	3	6.4	0.7	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)
110818A	103	40	2	1.6	0.3	3.36 (VLT: absorption)
110808A	48	3.3	0.8	0.4	0.2	1.348 (VLT: emission)
110801A	385	47	3	1.1	0.2	1.858 (GTC: absorption)
110731A	38.8	60	1	11.0	0.3	2.83 (Gemini-North: absorption)
110726A	5.2	2.2	0.3	1.0	0.2	#1.036 < z < 2.7 (Gemini-North)
110715A	13.0	118	2	53.9	1.1	0.82 (VLT: absorption)
110503A	10.0	100	4	1.35	0.06	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)
110422A	25.9	410	10	30.7	1.0	1.77 (TNG: absorption)| 1.770 (GTC: absorption)
110213A	48.0	59	4	1.6	0.6	1.46 (Bok: absorption)
110205A	257	170	0	3.6	0.2	2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)
110128A	30.7	7.2	1.4	0.8	0.2	2.339 (VLT: absorption)
101225A	1088.0	19	4	0.0	0.0	0.40 (Keck I: emission)
101219B	34	21	4	0.6	0.3	0.5519 (ESO-VLT: tentative redshift)
101219A	0.6	4.6	0.3	4.1	0.2	0.718 (Gemini-North: emission, host)
100906A	114.4	120	0	10.1	0.4	1.727 (Gemini-North: absorption)
100902A	428.8	32	2	1.0	0.1	4.5 (Swift XRT: tentative redshift)
100901A	439	21	3	0.8	0.2	1.408 (Gemini-North: absorption, host redshift)
100816A	2.9	20	1	10.9	0.4	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
100814A	174.5	90	2	2.5	0.2	1.44 (Magellan: absorption)
100728B	12.1	17	1	3.5	0.5	2.106 (VLT: absorption)
100728A	198.5	380	0	5.1	0.2	1.567 (VLT: emission, host)
100724A	1.4	1.6	0.2	1.9	0.2	1.288 (VLT: absorption)
100704A	197.5	60	2	4.3	0.2	3.6 (Swift: tentative redshift)
100621A	63.6	210	0	12.8	0.3	0.542 (VLT: emission)
100615A	39	50	1	5.4	0.2	1.398 (VLT: emission, host)
100513A	84	14	1	0.6	0.1	4.772 (Gemini North: absorption)
100425A	37.0	4.7	0.9	1.4	0.2	1.755 (VLT: absorption)
100424A	104	15	1	0.4	0.1	2.465 (VLT: emission, host)
