# From Pescalli et al. 2016
# This is the extended BAT6 sample with 99 GRBs
# Note : GRBs with no redshift have negative values for Ep which correspond to Ep_obs
#%|name | redshift | alpha | alpha_pos_err | alpha_neg_err | beta | beta_pos_err | beta_neg_err | peak_flux(1e-7 erg/cm2/s) | peak_flux_err(1e-7 erg/cm2/s) | peak_ph_flux(ph/cm2/s) | peak_ph_flux_err(ph/cm2/s) | range(keV) | Ep(keV) | Ep_err | L(1e51 erg/s) | L_err(1e51 erg/s) | Ref |
|120119A	|1.728	|-0.98	|0.03	|0.03	|−2.36	|0.09	|0.09	|   	|   	|16.9	|0.4	|[10−1000]	|516.1	|22.6	|56.9	|2.7	|14, 15	|
|120326A	|1.798	|-1.41	|0.34	|0.34	|   	|   	|   	|   	|   	|4.6	|0.2	|[15−150]	|115	|19.	|10.8	|1.8	|16, 17	|
|120703A	|   	|-0.81	|0.3	|0.2	|   	|   	|   	|54.	|13  	|   	|   	|[20−10000]	|-295	|72.	|   	|   	|18, −	|
|120729A	|0.8	|-1.62	|0.08	|0.08	|   	|   	|   	|   	|   	|2.9	|0.2	|[15−150]	|192	|   	|1.27	|0.11	|19, 20	|
|120802A	|3.796	|-1.21	|0.47	|0.47	|   	|   	|   	|   	|   	|3.0	|0.2	|[15−150]	|274.3	|93.0	|40.7	|5.7	|21, 22	|
|120811C	|2.671	|-1.4	|0.3	|0.3	|   	|   	|   	|   	|   	|4.1	|0.2	|[15−150]	|157.5	|20.9	|25.4	|4.5	|23, 24	|
|120907A	|0.97	|-0.75	|0.25	|0.25	|   	|   	|   	|   	|   	|4.3	|0.4	|[10−1000]	|304.4	|64.8	|2.45	|0.27	|25, 26	|
|121123A	|2.7	|-0.96	|0.2	|0.2	|   	|   	|   	|2.6	|0.2	|   	|   	|[15−150]	|240.5	|18.9	|14.9	|1.4	|27, 28	|
|121125A	|   	|-1.38	|0.06	|0.06	|   	|   	|   	|4.2	|0.3	|   	|   	|[10−1000]	|-196	|26.	|   	|   	|29, −	|
|121209A	|2.1	|-1.43	|0.08	|0.08	|   	|   	|   	|   	|   	|3.4	|0.3	|[15−150]	|494	|   	|17.4	|1.6	|30, 3	|
|130420A	|1.297	|-1.52	|0.25	|0.25	|   	|   	|   	|   	|   	|3.4	|0.2	|[15−150]	|76.3	|15.6	|3.77	|0.65	|31, 32	|
|130427A	|0.339	|-0.958	|0.006	|0.006	|−4.17	|0.16	|0.16	|6900	|100	|   	|   	|[20−1200]	|1371.3	|10.7	|384.1	|5.7	|33, 34	|
|130427B	|2.78	|-1.64	|0.15	|0.15	|   	|   	|   	|3.0	|0.4	|   	|   	|[15−150]	|386	|   	|29.	|5.0	|35, 36	|
|130502A	|   	|-1.0	|0.3	|0.3	|   	|   	|   	|7.0	|1.0	|   	|   	|[8−1000]	|-83	|17.	|    	|   	|37, −	|
|130505A	|2.27	|-0.69	|0.04	|0.04	|−2.03	|0.03	|0.03	|690	|30.	|   	|   	|[20−1200]	|2063.4	|101.4	|3959	|172	|38, 39	|
|130527A	|   	|1.04	|0.04	|0.04	|   	|   	|   	|500	|30.	|   	|   	|[20−10000]	|-1380	|120	|   	|   	|40, −	|
|130606A	|5.913	|-1.14	|0.15	|0.15	|   	|   	|   	|   	|   	|2.6	|0.2	|[15−150]	|2032	|   	|229.5	|24.3	|41, 42	|
|130609B	|   	|-0.66	|0.22	|0.22	|−2.6	|0.2	|0.2	|   	|   	|13.6	|0.4	|[10−1000]	|-491	|20.	|   	|   	|43, −	|
|130701A	|1.155	|-0.9	|0.21	|0.21	|   	|   	|   	|17.1	|0.7	|   	|   	|[15−150]	|227.9	|31.6	|28.9	|1.5	|44, 45	|
|130803A	|   	|0.85	|0.09	|0.09	|   	|   	|   	|   	|   	|7.1	|0.3	|[10−1000]	|-141.6	|12.2	|   	|   	|46, −	|
|130831A	|0.479	|-1.61	|0.06	|0.06	|−3.3	|0.3	|0.3	|25.	|3.0	|   	|   	|[20−10000]	|81.3	|5.9	|3.68	|0.45	|47, 48	|
|130907A	|1.238	|-0.91	|0.02	|0.02	|−2.34	|0.07	|0.07	|220	|10.	|   	|   	|[20−10000]	|881.8	|24.6	|185.6	|8.8	|49, 50	|
|131030A	|1.293	|-0.71	|0.12	|0.12	|−2.95	|0.28	|0.28	|100	|10.	|   	|   	|[20−10000]	|405.9	|22.9	|103	|11.	|51, 52	|
|131105A	|1.686	|-0.88	|0.38	|0.38	|−2.33	|0.33	|0.33	|20.	|2.0	|   	|   	|[20−10000]	|419	|102	|37.4	|4.9	|53, 54	|
|140102A	|   	|-0.71	|0.02	|0.02	|−2.49	|0.07	|0.07	|   	|   	|49.7	|0.5	|[10−1000]	|-186	|5.0	|   	|   	|55, −	|
|140206A	|2.73	|-1.04	|0.15	|0.15	|   	|   	|   	|   	|   	|19.4	|0.5	|[15−150]	|376.4	|54.1	|141.5	|4.8	|56, 57	|
|140215A	|   	|-0.66	|0.11	|0.11	|−2.94	|0.35	|0.35	|35.7	|3.5	|   	|   	|[20−10000]	|-214	|14.	|   	|   	|58, −	|
|140419A	|3.956	|-0.63	|0.36	|0.22	|-2.3	|0.4	|2.5	|47.	|19.	|   	|   	|[20−10000]	|1452.1	|416.3	|72.6	|25.2	|59, 60	|
|140506A	|0.889	|-0.9	|0.2	|0.2	|−2.0	|0.1	|0.1	|   	|   	|14.2	|0.7	|[10−1000]	|266	|68.	|11.5	|1.3	|61, 62	|
|140512A	|0.72	|-1.33	|0.03	|0.03	|   	|   	|   	|   	|   	|11.0	|0.3	|[10−1000]	|1011	|145	|5.28	|0.47	|63, 64	|
|140619A	|   	|-1.45	|0.14	|0.14	|   	|   	|   	|   	|   	|4.6	|0.2	|[15−150]	|-117.8	|46.2	|   	|   	|65, −	|
|140628A	|   	|-1.56	|0.09	|0.09	|   	|   	|   	|   	|   	|2.8	|0.2	|[15−150]	|   	|   	|   	|   	|66, −	|
|140629A	|2.275	|-1.42	|0.54	|0.54	|   	|   	|   	|4.7	|0.7	|   	|   	|[20−10000]	|281.7	|57.4	|27.1	|5.5	|67, 68	|
|140703A	|3.14	|-1.10	|0.06	|0.06	|   	|   	|   	|   	|   	|4.1	|0.2	|[10−1000]	|732.8	|58.0	|41.6	|2.2	|69, 70	|
